#{"t_start": 1716146085.034085, "env_id": "LunarLander-v2"}
r,l,t
-489.444387,102,0.78961
-94.600309,77,1.399734
-263.452986,91,2.122847
-230.685309,112,3.053537
-252.696316,87,3.894224
-293.368367,130,4.867367
-128.049631,99,5.579493
-297.873533,107,6.35795
-98.31278,88,7.00155
-443.936807,112,7.7935
-60.614892,64,8.255062
-116.840868,75,8.765153
-324.902332,75,9.319747
-56.163975,121,10.192359
-225.738357,114,11.028308
-193.586802,116,11.861782
-278.698586,83,12.466747
-445.645118,99,13.167763
-491.329373,95,13.834112
-552.025748,130,14.754268
-479.632541,93,15.410881
-80.157319,129,16.32601
-323.013168,90,16.98163
-313.943577,90,17.626234
-509.422673,86,18.262848
-90.92913,102,19.011017
-384.238745,102,19.757137
-323.215631,74,20.275662
-780.817316,149,21.363828
-560.942772,115,22.221267
-29.508839,68,22.717365
-481.095815,93,23.386147
-285.688094,131,24.37631
-306.128048,89,25.016411
-543.072799,97,25.737537
-301.299836,99,26.468153
-124.797803,115,27.30405
-212.894424,125,28.210696
-237.119095,104,28.981808
-390.891826,138,30.110459
-264.828076,134,31.080612
-220.525877,100,31.857837
-351.816964,118,32.735044
-284.606271,670,38.221326
-193.494876,165,39.729555
-241.704268,98,40.432166
-230.971389,150,41.622996
-197.255134,100,42.387642
-138.252232,108,43.260417
-0.888757,115,44.128071
-360.860176,204,45.749816
-275.545223,244,47.688111
-159.415275,72,48.265174
-260.190735,117,49.202217
-146.6212,116,50.104868
-723.112399,228,51.92088
-456.545854,205,53.736656
-55.169497,257,56.304989
-275.073945,175,58.196865
-78.273481,90,59.201069
-295.665709,170,60.960691
-599.933967,316,64.380893
-133.683152,95,65.377071
-327.391764,153,67.023469
-333.167332,313,70.079915
-318.241828,301,72.961814
-422.457271,317,75.998857
-126.581288,142,77.599675
-223.884074,121,78.869872
-270.956966,205,80.747285
-168.604856,161,82.290602
-222.104882,404,86.206862
-190.530541,238,88.974931
-392.983475,325,92.527845
-318.745684,287,96.027373
-271.054887,361,100.380221
-286.670804,601,108.036597
-204.335977,1000,123.629834
-323.272538,1000,139.71909
-333.081724,278,143.62748
-140.098251,516,151.373763
-453.297197,508,158.63324
-376.874241,738,169.399882
-347.948485,576,178.377833
-299.308708,398,184.878934
-230.505602,597,193.499304
-348.506404,450,200.174436
-232.620293,757,211.051975
-295.980962,455,218.12445
-310.71769,417,223.842272
-306.028889,559,232.070202
-338.470879,263,235.817204
-439.977971,187,238.348314
-286.738536,291,243.230713
-219.277713,197,246.960876
-240.427175,299,251.588058
-410.831793,431,257.710179
-266.982166,329,262.798481
-382.708913,351,267.820396
-320.584886,442,273.619046
-212.992769,656,282.921854
-222.33384,1000,299.901247
-254.646212,265,303.879257
-385.480283,918,320.445043
-207.473917,266,325.060894
-214.378429,462,333.723075
-195.9227,485,341.833903
-162.602347,468,350.444856
-240.070378,496,359.137754
-315.82992,350,365.434177
-50.434708,251,370.086524
-71.9528,259,374.106308
-68.444858,632,384.833745
-225.667464,350,391.098906
-176.106493,902,406.614753
-206.046164,1000,424.847877
-132.785109,1000,443.690667
-155.917015,1000,462.847972
-97.184618,290,467.404619
-87.150776,1000,485.590419
-139.48668,1000,505.039144
-101.063418,1000,525.129379
-110.427594,1000,545.465363
-67.999881,1000,566.636386
-136.124867,1000,587.164163
-92.169226,1000,606.102579
-115.792718,1000,624.787427
-66.72067,1000,645.16707
-96.15858,1000,665.621041
-95.317063,1000,684.906914
-102.540745,1000,704.704958
-86.102723,1000,724.622952
-198.648061,690,737.634308
-58.811329,1000,756.527607
-276.722509,951,773.331975
-226.082499,466,781.660092
-165.140306,103,783.124233
-152.116065,1000,800.239136
-88.522679,389,806.721433
-162.88078,262,811.435642
-83.516056,1000,828.782076
-260.317668,790,842.207237
-81.549809,1000,858.298305
-155.49364,138,860.861036
-187.142164,373,866.417889
-128.907137,1000,882.779718
-163.120208,266,886.221838
-176.682192,124,887.727872
-189.980435,521,895.449543
-153.559155,174,897.996508
-289.564817,978,913.768535
-149.957951,606,921.715576
-138.342337,329,926.028828
-148.681736,180,928.761732
-238.420799,844,938.704318
-253.335637,947,950.761605
-240.494477,516,956.91696
-128.897913,102,957.963622
-125.324961,350,961.67223
-191.970281,174,963.534287
-121.015163,215,965.651571
-125.894822,123,966.901823
-203.368359,352,970.877276
-226.67356,224,973.688534
-159.870616,120,974.95922
-109.503869,182,976.886232
-218.962992,289,980.148766
-198.358611,104,981.172927
-166.910913,289,984.372041
-285.262519,529,990.138702
-162.327472,167,991.753265
-189.925908,414,995.980983
-212.732177,413,1000.321628
-306.416998,372,1004.295531
-213.14374,430,1008.663231
-93.638305,124,1009.936982
-227.237641,293,1013.008475
-135.352215,142,1014.533908
-190.202248,101,1015.584554
-197.818017,119,1016.805246
-181.447984,103,1017.985202
-211.741989,266,1021.072346
-183.747831,318,1024.966248
-242.911381,260,1028.330559
-152.830305,304,1031.796056
-148.249473,310,1035.619028
-51.401233,1000,1049.626319
60.537252,953,1062.18252
-146.407642,143,1064.334308
-176.0308,539,1072.325751
-274.045721,332,1076.18255
-183.828104,118,1077.440706
-160.465461,199,1079.564
-188.710017,528,1086.391686
-69.636048,1000,1101.660954
-177.807756,309,1105.609913
-217.599572,229,1108.478065
-205.518754,253,1111.532749
-174.841669,376,1115.959159
-182.858316,265,1118.743855
-134.899816,121,1119.989542
-217.054299,206,1122.5034
-270.466978,383,1126.647474
-170.330361,119,1127.859682
-174.327708,84,1128.793334
-285.271681,360,1133.228469
-150.810919,168,1135.339282
-142.200264,184,1137.123042
-210.900484,1000,1151.47898
-257.149115,248,1155.38423
-169.810259,395,1160.215877
-187.36328,459,1165.423694
35.009787,1000,1176.990824
-203.638434,338,1181.122415
-228.493545,651,1189.828721
-262.912824,859,1200.067287
-145.085255,546,1206.379541
-101.337338,943,1219.888168
-177.533409,157,1221.865696
-139.967663,456,1228.305102
-180.29904,409,1233.681413
-177.806509,92,1234.734713
-220.451907,112,1235.969408
-141.74589,342,1240.44661
-242.515269,633,1249.685673
-216.149385,109,1250.817859
-187.395994,97,1251.868526
-227.253059,608,1258.915301
-165.965544,167,1260.810093
-180.845004,108,1262.061932
-135.102071,197,1264.219597
-101.022837,423,1268.577503
-183.727146,148,1270.231925
-183.12941,103,1271.326581
-170.71371,217,1273.662052
-186.422331,122,1274.893734
-167.784911,304,1278.18728
-157.339212,468,1283.137382
-174.792011,728,1291.283861
-201.738144,97,1292.256573
-224.30552,131,1293.641572
-125.798062,243,1296.552791
-105.415319,263,1299.425807
-192.131018,94,1300.435503
-273.743345,392,1304.982774
-219.789274,101,1306.316021
-158.083043,497,1311.78635
-165.304172,414,1315.950005
-226.865311,863,1324.836738
-146.789897,231,1327.204413
-151.911846,275,1329.973439
-180.65974,188,1331.927806
-189.886259,243,1334.14017
-153.897686,443,1338.665512
-52.997703,159,1340.400639
-215.106627,88,1341.221771
-195.429652,239,1343.441116
-197.157351,308,1346.640581
-178.972967,114,1347.790275
-205.490954,211,1349.885145
-230.548383,130,1351.284906
-156.200883,251,1353.865842
-165.383434,519,1358.883743
-194.254757,317,1361.732169
-223.9398,269,1364.491327
-144.337246,189,1366.580136
-215.136566,193,1368.755556
-193.471706,560,1374.629197
-89.209887,272,1377.386193
-111.777806,255,1379.974571
-187.029307,131,1381.192794
-176.00595,250,1383.533729
-203.475284,92,1384.445387
-188.348564,376,1388.378103
-174.867941,236,1390.674995
-188.442987,392,1394.291767
