#{"t_start": 1716147771.156313, "env_id": "LunarLander-v2"}
r,l,t
-384.063868,98,0.846979
-356.520337,80,1.418568
-138.079029,72,1.940674
-558.112781,94,2.615656
-76.571529,65,3.087731
-322.318432,61,3.527809
-225.155398,101,4.262984
-70.874679,98,4.993068
-223.827461,81,5.574673
-259.733697,68,6.07174
-342.774713,97,6.963157
-81.779731,93,7.641259
-314.343977,72,8.151332
-367.785261,105,8.933463
-131.81463,87,9.542045
-239.545729,83,10.162677
-436.923029,71,10.707268
-157.385925,78,11.241854
-242.237904,105,12.024489
-150.075723,136,13.011149
-219.280379,71,13.492852
-279.842192,107,14.264693
-268.892597,85,14.867277
-230.909488,101,15.597925
-203.81491,107,16.360048
-1.117714,1000,24.082354
-88.301706,89,24.748257
22.614291,101,25.482368
-125.643505,82,26.064965
-274.113192,103,26.834111
-357.082199,125,27.741286
-258.200659,83,28.361875
-166.595798,129,29.336289
-226.781708,136,30.344269
-229.659011,133,31.388376
-183.356488,119,32.229002
-153.979367,87,33.018675
-120.465438,118,33.917315
-354.264462,125,34.865464
-62.376636,122,35.799112
-72.39644,81,36.423184
-160.347433,79,36.987278
-163.449101,107,37.823411
-189.510406,140,38.846081
-64.274861,111,39.667707
-166.242695,100,40.460838
-218.448604,159,41.687514
-189.862323,118,42.615632
-150.400773,121,43.553683
-20.216226,153,44.821211
-37.062979,80,45.508155
-98.944766,110,46.438315
-47.763242,103,47.304236
-65.234179,78,47.852825
-66.927097,94,48.576929
-56.622415,111,49.427619
-118.881877,88,50.103833
-177.263678,99,50.839981
1.420351,117,51.758637
-128.696419,109,52.584059
-144.997665,120,53.499676
-129.227051,120,54.450734
-339.779823,142,55.559946
-123.640179,135,56.637607
-96.869006,128,57.763779
-128.206576,126,58.867633
-104.035041,77,59.567168
-104.629553,82,60.325797
-61.367789,116,61.534031
-65.218857,97,62.522697
-112.207987,123,63.669402
-147.472148,145,65.019288
-83.836337,135,66.206951
-33.460209,84,66.918039
-49.300286,232,68.797818
-26.44829,96,69.555424
-206.701968,192,71.063664
-54.651066,180,72.562291
-46.24075,169,74.054531
-102.569592,151,75.343968
-119.123428,298,77.995746
-39.483966,183,79.72652
-90.781239,159,81.189597
-63.460098,97,82.076745
-33.445416,242,84.22191
-22.279205,151,85.71471
-53.250811,478,90.306884
-26.505507,109,91.315567
-56.393612,377,95.054921
-30.630058,255,97.656806
-82.588993,191,99.403512
-48.590003,658,107.605367
-148.902709,384,111.816493
22.383669,204,114.558688
-92.383369,729,124.392611
-34.642484,1000,138.149399
-206.684261,266,141.34754
-114.747809,591,150.170191
-51.632527,1000,164.962335
-65.288943,1000,179.149793
-173.441578,313,183.698767
-97.87632,451,189.873156
-205.681234,975,201.42355
-205.108914,564,208.321741
265.473261,245,211.128628
-131.143007,279,214.051604
-110.184209,359,218.407344
-33.989425,179,220.900332
-137.894527,638,228.711712
-163.892565,380,233.808532
-152.680142,116,235.020557
-141.167447,760,244.13561
-142.612062,152,245.739699
-51.376807,167,247.608386
-110.414473,194,249.744763
-87.860312,629,257.050344
-96.733745,349,260.628321
-127.412977,226,262.847706
-94.27036,1000,275.345212
-142.64903,301,278.70185
-117.174772,125,280.205057
-74.914274,127,281.842264
-170.653767,322,285.366805
-272.575766,929,295.675957
-137.740797,109,296.81316
-123.293787,93,297.836313
-64.323624,221,300.49248
-188.900713,319,304.265653
-145.971782,139,305.688373
-138.528365,292,308.814849
-164.370206,249,311.541043
-192.455379,455,316.397427
-146.795897,149,318.039979
-8.107654,172,319.666387
-81.023204,440,325.340656
-106.933422,197,327.808065
-164.146261,91,328.868211
-156.607423,380,333.625625
-260.059346,754,343.134706
-174.925275,417,348.390131
-105.171755,571,355.315881
-124.001243,114,356.569041
-271.658833,590,363.705884
-156.532823,257,367.111894
-129.713185,159,369.063725
-118.882832,110,370.371703
-59.716858,276,372.906281
-84.773731,169,374.609318
-63.407607,332,378.1644
-91.912044,149,379.727172
-182.036571,310,382.849071
-157.981747,174,384.80839
-116.077662,231,387.873376
-16.839156,89,389.075529
-97.860399,115,390.411931
-118.506755,343,395.02553
-124.66535,133,396.798171
-167.305492,375,401.836598
-101.009921,304,404.935251
-285.169658,594,411.004248
-103.522458,165,412.980013
-214.172791,669,420.995565
-157.378696,138,422.444803
-221.03401,179,424.656551
-138.444008,168,426.752446
-156.254725,300,430.009516
-174.538364,242,432.703373
-86.72769,146,434.383126
-128.006141,186,436.715258
-222.521085,454,442.999295
-236.84146,474,448.562903
-223.553509,390,453.463347
-198.629117,418,459.069673
-216.540411,807,468.958568
-274.049067,550,476.047165
-172.392737,113,477.455857
-221.522611,580,484.308109
-38.644724,321,488.401189
-158.448898,479,495.312599
-162.513398,413,501.215419
-81.560194,301,505.675075
-201.002078,624,514.336556
-140.693402,99,515.617439
-299.795981,861,526.750757
-134.517419,133,528.500507
-111.695638,132,530.077217
-161.767841,387,535.184371
-252.607238,552,543.481648
301.879202,428,549.361763
-218.736977,377,555.285699
-179.953876,289,559.337981
-182.170691,514,566.936925
-275.995448,811,578.57903
-204.636272,587,587.507584
-238.731566,939,603.012729
-271.396802,665,613.100296
-207.724791,774,624.949201
-107.85695,1000,641.083493
-151.334179,358,647.12797
-92.2518,382,653.018312
-260.641061,777,664.028914
-236.882493,936,679.585675
-197.997096,735,691.743404
-88.551435,157,694.572242
-121.853638,174,697.262805
-199.010046,653,707.033051
-195.459131,495,714.326723
-148.237374,366,720.787414
-129.295339,1000,737.427325
-179.88412,435,743.202261
-70.895588,1000,759.302408
-221.447137,441,767.310509
-227.054222,754,779.255251
-88.782568,372,785.310427
-201.609704,744,797.279859
-247.186448,707,808.302227
-117.467043,1000,824.997007
-295.763053,921,841.591619
-144.887025,1000,857.738392
-113.814465,1000,875.069175
-171.38631,511,883.500551
-126.445831,240,887.306197
-246.630154,931,903.09122
-91.888311,1000,919.819371
-278.356664,805,932.489927
-92.497774,1000,948.786785
-137.453475,132,951.17016
-84.750336,1000,969.024536
-73.098796,157,971.754356
-214.182318,568,981.032496
-285.698638,987,997.674758
-138.904593,630,1009.490602
-107.426206,1000,1028.57147
-235.056546,550,1037.997533
-113.212737,1000,1054.484972
-157.447717,516,1062.429632
-47.40488,1000,1080.093645
-307.93049,906,1095.587959
-302.208807,961,1112.121706
-76.449482,1000,1128.993871
-156.311504,626,1138.86738
-197.628532,596,1148.894125
-182.440652,653,1160.741428
-220.51814,591,1170.170133
-89.500715,1000,1188.297354
-210.509671,878,1203.474254
-122.533988,514,1211.195248
-99.331854,160,1213.704352
-271.448506,904,1228.583699
-77.245027,1000,1245.962778
-202.356823,743,1257.843319
-290.016148,992,1275.065817
-244.787445,945,1291.700603
-71.674767,1000,1308.300179
-178.548078,485,1317.155994
-127.976208,512,1325.133307
-113.24757,201,1328.177083
-75.079148,1000,1345.267114
271.72373,294,1350.919945
-112.659394,1000,1368.258497
-73.33628,1000,1385.100395
-92.801749,1000,1402.504972
-101.127742,167,1405.52424
-38.160327,1000,1422.198393
-70.844207,1000,1439.215868
-65.715128,1000,1456.136424
-76.302886,1000,1473.943908
-86.18505,1000,1491.896364
-107.299463,1000,1509.935377
-65.181224,220,1514.017428
-51.618571,1000,1532.370262
-57.830429,1000,1550.630324
-81.288275,1000,1568.864244
-78.986254,1000,1586.707155
-174.442033,505,1595.462422
-124.959474,159,1598.615252
-16.353293,1000,1614.944345
