#{"t_start": 1716142918.6559174, "env_id": "LunarLander-v2"}
r,l,t
-561.853161,85,0.925959
-256.043087,85,1.108502
-286.896659,88,1.324529
-372.575429,105,1.60915
-200.686779,71,1.79418
-206.186613,65,1.948704
-525.605285,110,2.207753
-503.85891,107,2.481292
-262.058581,79,2.679846
-245.246718,106,2.961884
-366.450726,75,3.15343
-242.642208,91,3.369959
-234.073228,73,3.537996
-113.229405,66,3.707029
-139.753598,81,3.923053
-281.298215,98,4.166131
-210.528033,93,4.395087
-191.491712,59,4.519104
-166.523911,78,4.705666
-285.799378,73,4.891691
-322.080353,96,5.153255
-100.74274,60,5.306802
-175.895021,93,5.545348
-388.813965,90,5.744374
-13.873846,97,20.094156
-161.033009,76,20.281181
-144.373161,96,20.530714
-237.134628,85,20.749755
-71.164464,70,20.938776
-310.173233,71,21.111329
-243.200081,148,21.451873
-106.069231,89,21.678945
14.457261,78,21.887981
-373.914616,75,22.073525
-113.759558,108,22.326564
-97.818602,134,22.662633
-224.338443,83,22.875173
-239.088217,101,23.153732
-79.883368,83,23.363762
-415.688631,95,23.608751
-553.265331,128,23.916285
-187.78599,72,24.102839
-255.672118,101,24.330859
-69.332055,85,24.524432
-114.194375,65,24.664958
-207.376466,97,24.856982
-95.448798,143,38.491593
-71.282761,113,38.738151
-92.263553,84,38.929171
-251.011146,79,39.115716
-240.565966,132,39.434251
-316.346079,88,39.642784
-338.715886,76,39.838819
-81.200107,77,40.029912
-427.458822,101,40.265942
-75.502822,64,40.455977
-410.010844,82,40.681066
-373.137073,108,41.023678
-66.473683,72,41.262727
-90.20647,96,41.53878
-239.330781,67,41.747823
-225.142202,111,42.111419
-48.913148,72,42.330455
-157.964142,94,42.614532
-118.324971,94,42.836556
-171.040211,69,43.054125
-287.331818,79,43.315684
-243.580652,79,43.580783
-244.092398,83,43.857815
-192.901864,99,60.504955
-307.011132,97,60.765564
-212.232768,90,61.005612
-118.89543,74,61.208158
-199.697786,74,61.427209
-107.007025,107,61.744796
-109.733411,106,62.074581
-134.857854,100,62.396756
-130.271065,89,62.695818
-92.58514,113,63.093392
-413.597178,131,63.54148
-280.069241,124,63.936537
-61.61369,129,64.354104
-56.232615,135,64.73866
-261.129577,90,64.964683
-296.118516,119,65.278744
-76.366645,94,65.524295
-178.548824,113,65.822842
-104.775253,107,66.12291
-120.857706,82,80.238881
-176.473352,117,80.55196
-217.781805,92,80.804979
-32.255166,80,81.064021
-73.630977,125,81.422572
-26.832199,103,81.722054
-94.161331,114,82.075636
-126.824265,99,82.38018
-88.576925,72,82.539716
-84.086229,122,82.829744
-43.045603,70,83.010769
-37.028577,93,83.230299
-74.775558,131,83.594888
-108.612737,65,83.770918
-160.711098,105,84.08659
-52.857993,104,84.359652
-75.382398,114,84.684719
-205.256946,93,84.942263
-217.074166,134,85.322263
-119.962524,72,85.485289
-170.399633,128,85.83337
-82.033066,97,99.9037
-106.620818,126,100.219747
-99.380879,93,100.444286
-154.265952,100,100.695333
-29.416315,86,100.948872
-70.607098,65,101.129546
-176.511954,101,101.423094
-148.913438,142,101.916174
-26.63669,94,102.229579
-79.913418,109,102.57514
-123.510392,94,102.858675
-71.170558,110,103.250234
-36.95446,129,103.708794
-70.609549,109,104.102275
-77.669082,101,104.373813
-44.600717,111,104.666876
-114.492816,147,105.072464
-178.255749,99,105.334505
-113.45087,144,121.283594
-128.867047,83,121.574757
-70.987721,100,121.906315
-18.177373,129,122.333919
-28.142497,123,122.720972
-67.257863,113,123.085106
-28.532766,133,123.504248
-75.36798,126,123.951344
-37.294634,105,124.305421
-128.944892,109,124.646484
-46.350111,136,125.086586
-55.055355,105,125.431123
-24.180564,125,125.851228
-155.475632,87,126.163322
-82.66319,102,126.50588
-54.072831,105,126.834933
-78.064877,101,127.120978
-34.120674,95,127.375528
-172.77877,120,127.702591
-4.817735,125,142.540384
-73.752031,105,142.879447
-151.01647,115,143.277034
-95.299274,97,143.567676
-96.2944,95,143.900215
-40.679462,151,144.421329
-34.045659,144,144.904462
-90.173078,154,145.453084
-168.91189,93,145.772976
-88.117678,112,146.210557
-11.370969,157,146.839826
-69.418663,102,147.263454
-115.201314,130,147.885678
-173.459497,100,148.369788
-36.665735,124,149.012398
-46.43356,130,149.699312
-160.654316,135,150.251882
38.774668,1000,168.519474
-10.432248,154,169.214617
-157.614445,143,169.95824
14.666829,109,170.591347
47.796975,107,171.26946
21.333308,112,171.835175
8.949528,128,172.394322
-19.558632,135,172.988923
-22.910935,115,173.457987
-57.426575,150,186.228904
-94.133729,146,187.112025
-16.246594,157,188.195688
-52.273123,119,189.144385
-10.954112,104,189.761662
-92.868699,120,190.386938
-116.707311,129,191.141065
19.97457,145,192.072262
11.064212,106,192.659853
-65.436743,142,193.638014
-125.603929,107,194.482637
33.850626,1000,213.498075
-124.272843,119,213.856725
-51.84814,81,214.159086
-6.017829,187,215.152062
-82.051426,137,216.054729
74.001481,124,217.136895
-76.181803,192,218.923657
21.610943,187,220.345012
-162.416278,118,220.896147
-68.211728,170,221.611774
85.478433,1000,240.541614
-1.432046,343,245.161025
-87.429169,180,247.427384
51.975437,1000,272.98025
-28.283359,164,274.951132
-34.395781,156,276.372659
-108.350756,254,277.963435
-49.075939,164,279.370179
-53.275013,173,281.139144
88.404297,1000,290.623199
62.676074,1000,312.352479
77.036743,1000,321.740253
26.37606,153,335.136209
22.960913,1000,344.885911
-16.207118,186,346.744749
-10.55254,183,348.464474
-107.953679,139,349.540837
-29.219577,140,350.761272
20.438046,140,352.027608
69.522806,1000,372.953675
-39.273956,176,374.602917
-30.289182,157,376.039314
-111.233715,210,378.424812
36.648228,175,380.158526
-17.073244,195,381.999316
157.880708,1000,403.448979
34.095195,1000,412.757867
160.066385,766,431.115828
164.120275,1000,439.704243
99.577998,1000,461.287444
148.618136,1000,470.588497
101.492166,1000,491.771848
-49.871526,142,493.044045
1.602852,185,494.654804
-72.039829,266,497.318882
227.245933,239,499.383533
123.772203,1000,519.589161
-28.111322,163,520.894355
133.077293,1000,528.813903
169.402887,356,532.092535
-35.373476,152,533.488852
-46.177461,175,534.85857
134.9568,1000,554.874243
105.824176,1000,563.020736
-85.756514,257,577.173815
104.2955,1000,585.552638
253.155321,216,587.129582
201.15366,315,589.554962
179.083996,1000,609.845444
177.338487,1000,618.219768
164.442474,622,635.396368
113.707526,1000,642.813715
143.704217,1000,662.95331
141.665556,1000,671.216234
4.031339,146,672.19439
139.683054,1000,691.676331
117.205554,1000,699.021078
-38.086155,208,700.691857
-23.317202,173,701.996555
196.934604,254,704.112372
235.399699,383,718.605645
178.435687,1000,726.774017
162.533662,1000,746.384859
228.911729,403,749.509509
58.807556,1000,757.977616
157.737304,1000,777.532528
155.635808,1000,785.000516
123.921319,1000,804.351054
208.565574,370,806.964035
173.415908,297,808.984102
209.549445,355,811.628268
134.27858,1000,830.212425
-29.895454,231,831.572598
124.172052,1000,838.760099
237.499189,263,840.309897
253.217493,354,854.662048
252.528136,238,856.329437
96.643695,1000,863.694002
114.529536,1000,881.883301
51.691572,134,882.838567
270.145182,275,885.00568
-65.304858,160,885.962335
226.337911,237,887.428116
222.223134,339,889.318529
257.566397,249,890.741824
304.351577,279,892.448125
217.91529,332,906.752934
206.877244,641,910.864238
155.656651,414,913.541353
310.14788,263,915.155062
190.154517,282,916.961583
280.552275,185,929.877741
145.506272,1000,936.516954
237.211704,611,940.388017
-40.17213,180,941.503199
235.779404,305,955.133961
206.547183,250,956.568811
218.674172,286,958.593279
273.86834,225,960.301541
233.633509,513,963.488053
146.385894,295,965.34435
287.83595,213,966.397755
189.045533,262,980.301709
288.248913,336,982.310395
25.922523,123,983.027013
146.795469,1000,989.469278
281.362803,320,991.53085
181.899639,302,1004.997777
233.198036,186,1006.073445
216.416954,380,1008.3886
97.845236,1000,1016.22455
-29.574961,232,1017.710339
247.167831,278,1031.352777
205.950227,322,1033.337099
188.459449,266,1035.067567
13.608525,111,1035.800335
251.488743,245,1036.994105
145.990303,322,1038.894344
279.592585,254,1040.732651
249.90661,311,1043.013805
102.354784,1000,1061.505442
155.120749,1000,1066.942653
282.188229,268,1080.37238
272.221922,287,1081.905616
242.017108,237,1083.390841
250.595283,271,1085.208201
159.254343,464,1087.949099
255.404492,391,1089.914418
150.129565,1000,1108.058302
194.946078,290,1110.084602
47.70377,90,1110.660184
199.951493,273,1112.2309
186.095534,224,1113.416583
46.239989,101,1113.959665
292.303539,212,1115.245356
204.535684,370,1129.556585
274.977242,230,1131.011442
211.463982,394,1133.403188
176.136736,271,1134.966891
-13.465547,160,1135.91702
286.820176,297,1137.693853
288.579853,297,1139.459617
206.427448,254,1152.870661
