#{"t_start": 1716144532.6139605, "env_id": "LunarLander-v2"}
r,l,t
-154.929945,98,0.201048
-208.770522,72,0.362084
-249.009021,66,0.497106
-208.128282,100,0.713639
-16.604858,72,0.862157
-345.948469,125,2.729472
-268.49097,79,2.887987
-347.539749,94,3.08952
-317.844113,75,3.242324
-435.758324,96,3.45035
-295.315058,121,3.710399
-156.087022,64,5.362149
-369.970533,95,5.556693
-155.160901,75,5.722713
-298.649976,109,5.957246
-220.956457,77,6.121274
-93.560993,63,6.247788
-336.404325,88,8.071706
-122.781849,62,8.208224
-100.864361,64,8.343249
-414.008166,93,8.548747
-236.130547,88,8.735773
-182.550849,121,9.01273
-157.970534,120,10.814126
-69.618009,65,10.947643
-296.994622,90,11.134172
-322.007418,119,11.398216
-250.598678,103,11.605749
-110.583798,115,13.426057
-147.961965,105,13.653589
-334.801411,124,13.92113
-124.940493,101,14.134663
-66.298687,80,14.312552
-134.80493,81,16.046607
-32.581307,102,16.267627
-156.961111,108,16.508176
-202.849451,69,16.660201
-93.913907,77,16.82422
-163.184996,67,16.960242
-158.277414,71,18.692355
-287.701725,80,18.861373
-118.152315,121,19.122432
-244.872985,104,19.34845
-279.335063,124,19.624494
-120.833959,79,21.326793
-132.545248,98,21.560339
-158.219667,79,21.741374
-210.660689,120,22.006917
-211.25688,105,22.243452
-155.465103,114,24.057255
-97.789682,90,24.267302
-115.357687,112,24.492834
-101.251901,96,24.708869
-80.660026,70,24.857886
1.450756,147,26.731186
-25.928595,63,26.871696
-51.16223,103,27.089233
-163.62652,72,27.256262
-61.349453,111,27.486792
-110.366883,94,27.687816
-51.459306,95,29.510601
-308.338258,85,29.688623
-84.006581,111,29.925164
-61.744846,75,30.081186
-141.673376,77,30.242207
-212.785397,167,32.153027
-86.955954,99,32.379054
-320.787555,105,32.624113
-163.312212,104,32.846133
-53.279655,64,32.992155
-7.351512,110,34.819483
-77.616652,109,35.058013
-39.603626,114,35.303049
-41.952213,69,35.452073
-116.279261,80,35.646622
-71.441081,112,35.905344
-33.94835,74,37.605759
-50.155269,120,37.898294
-168.738125,109,38.143336
-42.931045,92,38.363364
-17.200167,110,38.632421
-82.237425,98,40.451232
-11.034132,93,40.662491
9.609877,109,40.93203
52.515096,109,41.212579
-235.552462,76,41.406172
-39.542656,86,43.185497
-74.820879,97,43.464033
12.151292,125,43.869591
-30.336329,125,44.285158
-24.663404,126,44.704713
21.342715,135,46.581992
-120.39911,89,46.796021
-108.459308,89,47.016561
-32.006533,97,47.236087
24.612113,119,49.121905
-19.487422,114,49.422446
-1.454477,102,49.714988
-107.329813,114,50.061538
-75.17231,89,50.352077
-60.462859,128,52.408394
-52.866015,117,52.874464
24.764002,125,53.420047
-17.860573,98,53.880603
15.811415,116,54.239066
-132.668317,90,56.076232
33.423783,119,56.447807
-29.397195,104,56.785851
46.968837,1000,64.151692
-48.410128,135,64.56867
48.035454,1000,71.931948
-73.517234,85,72.425023
-45.526468,134,74.75354
35.748721,154,75.685163
20.836314,130,76.339095
-52.486237,122,76.995251
65.797889,147,79.607264
-29.789275,126,80.801044
24.434299,149,82.487453
-60.102925,112,85.420892
-173.413751,97,86.72265
-19.176563,132,88.230776
-66.295787,147,89.149418
-5.977359,131,91.37332
113.978493,1000,100.072779
2.76018,123,102.683348
6.912953,178,103.925178
61.004104,1000,114.852885
19.670879,179,116.081548
108.803927,1000,126.142314
-235.683022,156,128.98875
141.542448,1000,139.327227
73.010119,1000,150.174895
157.668023,1000,160.597686
20.460775,194,163.691462
-187.458201,163,164.902626
31.733893,206,167.846464
-10.317723,174,168.96614
98.190553,1000,179.811944
143.439126,1000,191.581656
136.423712,1000,203.615676
92.942743,1000,216.011984
-63.53693,234,218.165998
16.278618,162,221.251908
119.733686,1000,231.952221
0.345869,217,235.376868
127.198822,1000,246.536479
113.814204,1000,259.243498
-13.485075,205,261.031768
131.195298,1000,272.85147
147.187711,1000,285.899833
-189.606636,170,287.322556
-40.616428,177,290.437849
179.478496,906,300.991941
24.121931,230,303.21782
134.153295,1000,315.064948
24.111223,181,316.512649
-85.493467,135,319.380122
90.718685,1000,332.135294
-75.352419,158,333.238932
-236.955702,196,334.568128
108.316381,1000,346.991736
113.182569,1000,359.538923
-244.480155,218,362.908809
-9.327604,196,364.654553
148.250868,1000,377.220442
30.31162,201,379.178761
110.533434,1000,391.834945
-40.495672,136,393.3847
75.658965,1000,406.734876
-99.823994,161,409.733358
163.982625,1000,422.270099
119.165724,1000,437.394468
149.929594,1000,450.42146
119.180002,1000,463.408913
44.599966,198,465.263204
99.294142,1000,477.51916
-11.853896,216,479.289716
-26.549815,272,483.11774
-363.501939,156,484.24741
-57.905976,248,487.627581
179.285431,519,493.654201
6.962501,159,494.998479
179.912142,408,500.117985
61.108482,211,502.411797
-24.319203,223,506.237449
-21.713279,295,508.337538
-27.557947,307,512.569195
6.918451,314,516.343817
196.677937,860,526.903133
127.793044,1000,539.13117
118.418347,1000,552.137451
180.282759,384,557.65967
-32.309792,310,560.194068
-262.847154,137,562.773366
115.361902,1000,575.082091
2.307747,272,577.595954
179.399503,1000,590.816511
-30.776287,336,595.27423
104.306588,1000,608.453657
-45.964004,318,611.882038
1.657309,305,616.635248
-9.073474,273,619.053544
184.088554,413,624.592635
-32.444895,293,628.673077
104.571487,1000,641.166302
-126.814372,241,643.507741
138.668762,474,649.445129
-50.226831,232,652.988928
121.605497,1000,665.321936
-41.199853,347,668.167116
23.852843,783,679.130416
138.987564,1000,692.375501
-21.060572,315,696.051796
113.133992,1000,708.870703
104.946403,1000,723.098355
95.479585,1000,736.661827
162.532246,1000,749.625642
-48.318642,355,754.515545
214.096997,402,760.329484
142.632792,1000,772.254506
150.071735,348,776.027073
114.843124,1000,789.473695
-13.730482,363,795.177958
151.149467,960,808.995677
97.272508,1000,822.690835
112.95344,1000,836.58194
-49.21596,344,840.053189
81.002841,1000,853.706864
174.928306,999,866.021868
132.400722,1000,879.356039
129.31202,1000,893.948583
-19.579933,270,898.494504
93.312169,1000,913.189384
65.674042,1000,926.12448
-6.714086,298,928.431691
83.165362,1000,942.250118
39.55408,227,946.038403
161.283836,438,950.7556
139.558994,1000,963.783313
96.261001,1000,976.923515
62.577993,1000,990.629351
126.752858,1000,1003.883242
173.323072,372,1008.613992
163.049796,434,1015.312423
140.670745,1000,1029.756481
111.171697,1000,1042.946109
-51.858445,352,1046.561383
183.452215,448,1052.647986
122.797035,1000,1065.513983
110.905576,1000,1078.653631
96.362955,1000,1092.826859
-40.742365,328,1098.256082
-225.245345,175,1100.295092
136.546277,1000,1114.000234
179.251499,1000,1126.547125
95.328034,1000,1139.758404
152.510564,1000,1152.695118
139.54089,1000,1166.306074
231.379471,311,1170.895663
103.652591,1000,1183.098995
120.460723,1000,1196.170339
118.219585,1000,1208.722379
215.916279,401,1214.083837
127.571257,1000,1228.001918
-56.536092,320,1233.104009
224.291084,354,1236.211126
110.276308,1000,1249.224713
22.624901,266,1253.195199
-29.952721,240,1255.712474
174.546817,631,1265.205765
166.30332,1000,1277.642585
-4.38428,312,1280.635503
55.500966,175,1283.76149
18.897973,312,1286.7919
102.327616,1000,1298.46373
125.158249,1000,1311.481733
-205.499698,223,1313.464597
167.77974,1000,1326.128161
169.03072,1000,1338.639592
-16.240088,158,1341.906875
-212.240584,168,1343.52861
163.519948,1000,1356.6146
145.564485,1000,1369.987095
57.835904,1000,1382.872403
188.610952,402,1388.121124
143.605229,1000,1401.239876
214.452483,370,1404.625514
158.383251,1000,1418.113376
-35.159724,257,1421.996511
139.029806,1000,1434.519095
-55.856431,147,1435.912818
115.928498,1000,1449.312865
227.4408,357,1454.474749
242.572002,345,1457.696418
135.039491,1000,1471.261852
170.100502,1000,1484.25315
172.239461,1000,1498.779998
